epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55215,1.77595,4.12318,1.45694,0.0018,0.33333,0.00795,0.00313,1.79398,3.79316,1.58675,8.574e-05,8.574e-05,8.574e-05
2,2.53431,1.39571,3.83233,1.23292,0.00137,0.16667,0.06102,0.05048,1.21627,3.53317,1.1365,0.00018485,0.00018485,0.00018485
3,3.47964,1.19878,2.18294,1.12641,0.00354,0.38889,0.26642,0.10147,1.13403,3.30212,1.06328,0.000282971,0.000282971,0.000282971
4,4.38376,1.19428,1.80096,1.08541,0.00397,0.55556,0.38978,0.23528,1.1736,3.22799,1.03821,0.0003801,0.0003801,0.0003801
5,5.32744,1.06209,1.42732,1.00453,0.00454,0.66667,0.51687,0.3897,1.03781,3.14526,0.99187,0.00047624,0.00047624,0.00047624
6,6.23665,1.15705,1.2971,1.03695,0.00564,0.83333,0.19433,0.15226,1.04452,3.18768,1.02859,0.000571389,0.000571389,0.000571389
7,7.16656,1.03921,1.22298,1.01149,0.00693,1,0.15117,0.11617,1.07598,3.23121,1.05389,0.000665548,0.000665548,0.000665548
8,8.04953,1.06432,1.10771,1.01432,0.0069,1,0.47604,0.35013,1.03772,3.05376,1.03027,0.000758717,0.000758717,0.000758717
9,8.94221,1.011,1.11232,1.01106,0.00684,1,0.94209,0.70441,1.05379,2.71309,1.01778,0.000850895,0.000850895,0.000850895
10,9.80395,0.98893,1.00022,1.00435,1,0.17287,0.89503,0.66534,1.08831,2.54264,1.03924,0.000942083,0.000942083,0.000942083
11,10.6808,0.95299,0.99176,0.97496,1,0.35824,0.995,0.72034,1.12594,2.09974,1.06311,0.00103228,0.00103228,0.00103228
12,11.6091,0.9889,0.99484,0.9884,0.9706,0.69872,0.995,0.69007,1.15928,1.93903,1.07192,0.00112149,0.00112149,0.00112149
